ID	TN
2108473615	0
2230673808	0
2430159358	0
2639100153	0
2001743771	0
145487547	0
2973768292	0
2159287428	0
7071958	0
2626762723	0
2787139323	0
2227303127	0
2231773769	0
2225972395	0
2553488030	0
2707503730	0
2286091311	0
2477602866	0
2885851425	0
1277437070	0
2144260230	0
2636196605	0
2202973957	0
229879864	0
2124033331	0
2171040760	0
2107100953	0
2229818249	0
2505703639	0
2176365290	0
2768319220	0
2128051339	0
2599650906	0
2405034779	0
2140556776	0
2628810425	0
2311019828	0
2896190849	0
2473894046	0
2147836937	0
2000108749	0
2310193886	0
159046444	0
2316596299	0
2974071427	0
1987755121	0
2097035225	0
2965596472	0
2138762856	0
2111552791	0
2161723673	0
2123882247	0
2608422787	0
2226626640	0
2298459957	0
2633858679	0
2711435735	0
2152325489	0
2668332944	0
2144397408	0
2912008687	0
2899844254	0
2568086240	0
2939864671	0
2730772141	0
2646421264	0
1984994054	0
2314232819	0
2675373843	0
2687711334	0
2106640644	0
2546021934	0
2130144971	1
1931272019	1
2125762281	1
2005494572	1
2195048431	1
2951439127	1
2100980789	1
2078633956	1
2278892267	1
2194385920	1
2166702024	1
1612755466	1
2110356299	1
2124900482	1
2146028162	1
2721404323	1
2098282815	1
2029460102	1
2021274021	1
1965972254	1
1963686774	1
2514118810	1
2110715440	1
2516247858	1
2513937482	1
2226611697	1
2134891245	1
2572444533	1
2786351344	1
1538418967	1
2949136714	1
2950913863	1
2921659999	1
2150700496	1
2249216824	1
2380037463	1
1727115441	1
2509600330	1
96492545	1
275506078	1
2985674702	1
343541395	1
1497545797	1
2306778192	1
2897463735	1
2566425648	1
2785416002	1
1975721694	1
2149900527	1
2309166124	1
2460742993	1
2115615403	1
2328643574	1
2950813128	1
2154829706	1
2936669495	1
2237284261	1
2107927076	1
2109486514	1
291038320	1
245759790	1
2509220363	1
2952718772	1
2687392197	1
2423476627	1
2151639406	1
2193562398	1
238778836	1
715896484	1
2150326578	1
2138960101	1
2283844017	1
2983356119	1
308745853	1
2984652466	1
2517262209	1
2680387496	1
100924317	1
2104102455	1
342945316	1
2102149111	1
2124351263	1
2208521465	1
2789607009	1
2497644411	1
2460355940	1
2588433762	1
2631336887	1
696077761	1
2164566402	1
2307408782	1
2171343426	1
2048787978	1
2105350755	1
2112194197	1
2134620140	1
2100116873	1
1933462798	1
182699647	1
2242145496	1
2290866383	1
2321832285	1
2461029465	1
2311972679	1
2897785810	1
1164161613	1
2988699032	1
250363551	1
2973623273	1
1214819165	1
2925876425	1
2984229962	1
1840823888	1
2717633028	1
2172219169	1
2534083341	1
2500544163	1
2281721836	1
2100951023	1
2301950271	1
2217777545	1
303149458	1
2798783131	1
2805690173	1
2019062196	1
2095425336	1
2147099728	1
2137603918	1
2489648997	1
2175996650	1
2310322613	1
2199940887	1
343451649	1
2719400295	1
2976649223	1
2594426199	1
2974785736	1
268055191	1
293715001	1
2645336224	1
1878213703	1
2971359188	1
2654220912	1
2141838361	1
2274852307	1
2149185609	1
2102798150	1
2471237152	1
2300133930	1
2764544553	1
2130285077	1
2275938019	1
2615755404	1
2776393052	1
2007479049	1
2699747739	1
2899301648	1
2947652014	1
2641817163	1
2397877798	1
2808153612	1
2305394960	1
2973392622	1
2688723635	1
2109140730	1
2153169755	1
2245409881	1
2229320833	1
2223318118	1
2140379218	1
2023034480	1
2602128227	1
2244247477	1
2103566335	1
146017284	1
2199665864	1
2106788355	1
2230865668	1
2032714081	1
2629168520	1
624458722	1
2478935212	1
2149832105	1
1165076649	1
2189967196	1
2038216534	1
1840429485	1
2171257868	1
2130294491	1
235507199	1
2161719457	1
2692059240	1
137675174	1
2098910421	1
2086740601	1
2706791897	2
2088000343	2
2075917035	2
59446286	2
2171486311	2
2638241340	2
2059506051	2
2180706138	2
2168391217	2
2050841350	2
1964658237	2
2151264347	2
2079447303	2
1906554206	2
2141683438	2
2097760231	2
1996818041	2
2115566128	2
2089811026	2
2038092830	2
2312279920	2
581767464	2
60337141	2
2107195043	2
232442126	2
2426131985	2
2406640161	2
65538393	2
2149966762	2
2508722236	2
466258520	2
48761726	2
2228927042	2
2116728409	2
2951865399	2
2078572054	2
168699463	2
2022197843	2
2467495055	2
1023361224	2
2198148421	2
75917667	2
625447375	2
2400605117	2
2306779755	2
45772557	2
2688611048	2
2675050837	2
2892844718	2
2082468712	2
323816932	2
1908522208	2
2397979562	2
2153140827	2
672946669	2
2121348433	2
528588921	2
2163096604	2
239255947	2
2609124786	2
2142388449	2
2505089899	2
14172422	2
2403412554	2
2065464292	2
2695385476	2
2119413149	2
2221798127	2
1920008803	2
687553606	2
218354731	2
2695504174	2
2952423554	2
2192181679	2
2340126708	2
2140912314	2
259249205	2
85537834	2
2509989645	2
2895689540	2
2297071937	2
695545146	2
1577021311	2
112114108	2
1543553562	2
1988895913	2
2239053892	2
2119055367	2
2144633556	2
2021686850	2
137426811	2
2252608274	2
2310067237	2
307687659	2
2046831784	2
1736923	2
112407019	2
2973268735	2
74094003	2
2205155946	2
2308321853	2
2624809319	2
1997232351	2
2160692822	2
2109620375	2
685665164	2
2811050486	2
2952254962	2
1633922242	2
2109128626	2
2283780060	2
2416164380	2
2060841099	2
2134590396	2
2024860705	2
2167481058	2
2042399643	2
2128673820	2
2155763988	2
2220962793	2
2133936121	2
1926448179	2
2916808387	2
2916482305	2
2117192935	2
2485870222	2
2433019474	2
2140973757	2
