country	TN_0	TN_1	TN_2	TN_3	TN_4	TN_5	TN_6	TN_7	TN_8	TN_9	TN_10	TN_11	TN_12	TN_INF
KH	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KE	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GT	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BA	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TT	0	0	0	0	0	0	0	1	2	0	0	0	0	0
LV	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GU	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZW	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PE	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GH	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SD	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RW	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BO	0	0	0	0	0	0	0	0	0	1	0	0	0	0
