TN	aveBetweenness_centrality_ln	aveCloseness_centrality_ln	aveDegree_centrality_ln	aveEigenvector_centrality_ln	aveLoad_centrality_ln
0	-4.598559308837901	-2.1235779776195476	-8.421783006611578	-4.242894483564033	-4.613399926869557
1	-5.739625901413967	-2.081097358790865	-8.549397641818807	-4.843363598995318	-5.749223564000474
2	-7.326495465380958	-2.1356565498235422	-9.003077549949362	-6.098259293082599	-7.325080921265377
3	-9.15461264853283	-2.2234023918050183	-9.690121548740871	-8.280389326566453	-9.141970278884894
4	-10.884739227882303	-2.323597876625237	-10.221138073393018	-10.280363957550346	-10.875007876045617
5	-11.794042804233786	-2.4203980194822265	-10.380437324543283	-12.326253668947839	-11.792602915915195
6	-12.013956705936696	-2.5088556502353403	-10.427856418932569	-15.106293469845506	-12.013764403391294
7	-27.054091024717483	-2.5867099473150432	-10.706526668473787	-17.599128249858705	-27.054091024717483
