TN	aveBetweenness_centrality	aveCloseness_centrality	aveDegree_centrality	aveEigenvector_centrality	aveLoad_centrality
0	0.010066327772315222	0.1196029254333662	0.00022002200220022002	0.014365949600791501	0.009918040307286541
1	0.0032159711405541523	0.12479319412472532	0.00019366171815179858	0.007880502571828076	0.003185252981721278
2	0.0006578750979637612	0.11816698239123115	0.00012303058807777248	0.0022467752948249564	0.0006588063498054985
3	0.00010573097638796576	0.10824020601496687	6.189188108057648e-05	0.00025343851047965186	0.0001070761516597018
4	1.8742081253874446e-05	0.0979206446675373	3.6392855742596e-05	3.430004274612837e-05	1.8925357356487e-05
5	7.5493974620895885e-06	0.08888623196577149	3.1033685185243266e-05	4.433799489397948e-06	7.560275581066427e-06
6	6.059055028480064e-06	0.08136129176350285	2.9596441633871796e-05	2.750553546648562e-07	6.060220312224697e-06
7	1.7805638631851954e-12	0.07526726644049472	2.2398273712623453e-05	2.2740275127587662e-08	1.7805638631851954e-12
