TN	aveBetweenness_centrality_e	aveCloseness_centrality_e	aveDegree_centrality_e	aveEigenvector_centrality_e	aveLoad_centrality_e
0	1.0101171636835204	1.1270492401290964	1.0002200462088162	1.0144696357765697	1.009967387075207
1	1.0032211479237167	1.1329141355391295	1.000193680471793	1.0079116354594195	1.003190331290468
2	1.0006580915452485	1.1254320230083081	1.000123038156651	1.0022493011857865	1.0006590234103732
3	1.0001057365661046	1.1143153784981246	1.0000618937964225	1.0002534706287323	1.0001070818845155
4	1.0000187422568878	1.1028752626027363	1.0000363935179706	1.0000343006309993	1.0000189255364422
5	1.0000075494259588	1.0929563057625005	1.0000310341667351	1.0000044338093188	1.00000756030416
6	1.0000060590733846	1.0847627416212051	1.000029596879613	1.0000002750553925	1.0000060602386753
7	1.0000000000017806	1.0781722716456943	1.0000223985245558	1.0000000227402754	1.0000000000017806
