2423129669	1	1	19	5	FI
2224696842	1	1	1	5	FI
2984391519	1	1	1	5	FI
2439791416	1	1	13	5	FI
2104776651	1	2	26	5	FI
251025516	2	10	34	5	FI
2235852165	0	1	0	5	FI
2086037556	7	9	255	5	FI
2087351494	1	5	6	5	FI
2239398692	1	1	80	5	FI
2662900604	0	1	0	5	FI
2717820364	1	1	4	5	FI
2497258939	1	1	54	5	FI
286730962	1	2	7	5	FI
2762822699	1	1	3	5	FI
2729270074	1	1	5	5	FI
2564251523	1	4	6	5	FI
2304209180	2	2	66	5	FI
2105243427	0	1	0	5	FI
2779872042	0	1	0	5	FI
2463072116	2	3	116	5	FI
2197651681	1	3	4	5	FI
1522769297	0	2	0	5	FI
2224400387	1	1	3	5	FI
2693511221	0	2	0	5	FI
2648554765	1	1	4	5	FI
2105526057	2	2	5	5	FI
2686176825	1	3	1	5	FI
1804459370	4	19	86	5	FI
1974198400	1	1	2	5	FI
359129946	1	1	13	5	FI
1194452460	1	2	15	5	FI
2236346454	3	10	22	5	FI
2337343777	0	2	0	6	FI
2779614965	2	2	11	6	FI
2395606972	1	1	45	6	FI
1682215463	1	1	24	6	FI
2508990387	0	1	0	6	FI
2974528026	1	1	7	6	FI
2973750715	3	3	49	6	FI
320297097	1	1	3	6	FI
2105596370	1	1	34	6	FI
2584864679	1	1	3	6	FI
2530962563	0	1	0	6	FI
2099703529	1	1	3	6	FI
